iter	Passed	Remaining
747	35861	12081
748	35927	12039
749	35985	11995
750	36040	11949
751	36100	11905
752	36157	11860
753	36209	11813
754	36263	11767
755	36321	11722
756	36376	11677
757	36427	11630
758	36481	11583
759	36538	11538
760	36591	11491
761	36647	11446
762	36710	11402
763	36770	11358
764	36823	11311
765	36891	11269
766	36969	11230
767	37041	11189
768	37110	11147
769	37175	11104
770	37242	11061
771	37309	11018
772	37377	10976
773	37451	10935
774	37524	10894
775	37599	10853
776	37675	10812
777	37751	10772
778	37811	10726
779	37866	10680
780	37922	10633
781	37971	10585
782	38030	10539
783	38085	10493
784	38140	10446
785	38192	10398
786	38248	10351
787	38293	10302
788	38350	10256
789	38407	10209
790	38461	10162
791	38536	10120
792	38599	10075
793	38659	10029
794	38720	9984
795	38787	9940
796	38861	9898
797	38918	9851
798	38983	9806
799	39042	9760
800	39116	9718
801	39188	9674
802	39253	9630
803	39322	9586
804	39389	9541
805	39457	9497
806	39516	9450
807	39598	9409
808	39666	9365
809	39732	9320
810	39799	9275
811	39866	9230
812	39929	9184
813	40001	9140
814	40050	9091
815	40108	9044
816	40180	9000
817	40247	8954
818	40310	8908
819	40380	8863
820	40444	8817
821	40505	8771
822	40563	8723
823	40635	8679
824	40694	8632
825	40753	8584
826	40820	8539
827	40886	8493
828	40961	8449
829	41038	8405
830	41105	8359
831	41176	8314
832	41231	8266
833	41331	8226
834	41415	8183
835	41486	8138
836	41549	8091
837	41611	8044
838	41661	7994
839	41711	7944
840	41768	7896
841	41825	7848
842	41881	7799
843	41944	7752
844	41992	7702
845	42047	7653
846	42105	7605
847	42174	7559
848	42236	7512
849	42290	7462
850	42347	7414
851	42399	7365
852	42464	7317
853	42521	7269
854	42583	7221
855	42632	7171
856	42690	7123
857	42750	7075
858	42808	7026
859	42861	6977
860	42920	6929
861	42979	6880
862	43034	6831
863	43082	6781
864	43138	6732
865	43190	6683
866	43244	6633
867	43304	6585
868	43369	6537
869	43423	6488
870	43479	6439
871	43535	6390
872	43599	6342
873	43651	6292
874	43715	6245
875	43779	6197
876	43843	6149
877	43902	6100
878	43949	6049
879	44006	6000
880	44061	5951
881	44109	5901
882	44164	5851
883	44220	5802
884	44275	5753
885	44338	5705
886	44401	5656
887	44465	5608
888	44524	5559
889	44580	5509
890	44638	5460
891	44706	5412
892	44766	5364
893	44830	5315
894	44891	5266
895	44953	5217
896	45025	5170
897	45088	5121
898	45150	5072
899	45202	5022
900	45257	4972
901	45315	4923
902	45367	4873
903	45431	4824
904	45500	4776
905	45577	4728
906	45650	4680
907	45718	4632
908	45794	4584
909	45855	4535
910	45924	4486
911	45992	4437
912	46050	4388
913	46113	4338
914	46180	4289
915	46248	4241
916	46323	4192
917	46386	4143
918	46453	4094
919	46513	4044
920	46575	3995
921	46622	3944
922	46673	3893
923	46723	3843
924	46770	3792
925	46816	3741
926	46871	3691
927	46919	3640
928	46968	3589
929	47014	3538
930	47072	3488
931	47121	3438
932	47171	3387
933	47221	3336
934	47310	3288
935	47371	3239
936	47424	3188
937	47483	3138
938	47547	3088
939	47611	3039
940	47674	2989
941	47731	2938
942	47776	2887
943	47827	2837
944	47883	2786
945	47943	2736
946	47990	2685
947	48040	2635
948	48100	2584
949	48164	2534
950	48235	2485
951	48298	2435
952	48363	2385
953	48416	2334
954	48468	2283
955	48516	2232
956	48573	2182
957	48633	2132
958	48690	2081
959	48738	2030
960	48785	1979
961	48837	1929
962	48894	1878
963	48978	1829
964	49060	1779
965	49122	1728
966	49179	1678
967	49230	1627
968	49279	1576
969	49331	1525
970	49389	1475
971	49448	1424
972	49501	1373
973	49554	1322
974	49599	1271
975	49646	1220
976	49714	1170
977	49789	1120
978	49843	1069
979	49891	1018
980	49948	967
981	50006	916
982	50061	865
983	50132	815
984	50190	764
985	50246	713
986	50304	662
987	50361	611
988	50413	560
989	50472	509
990	50541	459
991	50618	408
992	50672	357
993	50731	306
994	50794	255
995	50852	204
996	50910	153
997	50971	102
998	51041	51
999	51117	0
